Geslacht,Instelling,OpleidingNaam,OpleidingType,Plaats,Lat,Lon
M,Fontys Hogescholen,Toegepaste Wiskunde,ICT,Eindhoven,51.4416,5.4697
M,Saxion,Technische Bedrijfskunde,ECON,Enschede,52.23339,6.907087
M,Avans Hogeschool,Ondernemerschap & Retail Management,ECON,Breda,51.56436,4.730148
M,Avans Hogeschool,Ondernemerschap & Retail Management,ECON,Breda,51.56436,4.730148
V,Avans Hogeschool,Bedrijfskunde,ECON,Breda,51.56436,4.730148
M,Avans Hogeschool,Technische Bedrijfskunde,ECON,Breda,51.56436,4.730148
M,Avans Hogeschool,Bedrijfskunde,ECON,Breda,51.56436,4.730148
M,HAN,HBO-ICT,ICT,Arnhem,52.00336,5.92857
V,HAN,Bedrijfskunde,ECON,Arnhem,52.00336,5.92857
M,HAN,HBO-ICT,ICT,Arnhem,52.00336,5.92857
M,HAN,Ondernemerschap & Retail Management,ECON,Arnhem,52.00336,5.92857
M,HAN,Finance & Control (Bedrijfseconomie),ECON,Arnhem,52.00336,5.92857
V,HAN,Finance & Control (Bedrijfseconomie),ECON,Arnhem,52.00336,5.92857
M,HAN,Finance & Control (Bedrijfseconomie),ECON,Arnhem,52.00336,5.92857
M,HAN,Bedrijfskunde,ECON,Arnhem,52.00336,5.92857
M,HAN,Bedrijfskunde,ECON,Arnhem,52.00336,5.92857
M,HAN,HBO-ICT,ICT,Arnhem,52.00336,5.92857
V,HAN,Human Resource Management,ECON,Arnhem,52.00336,5.92857
M,HAN,Technische Bedrijfskunde,ECON,Arnhem,52.00336,5.92857
M,HAN,Bedrijfskunde,ECON,Arnhem,52.00336,5.92857
M,HAN,Logistics Management,ECON,Arnhem,52.00336,5.92857
V,HAN,Bedrijfskunde,ECON,Arnhem,52.00336,5.92857
M,HAN,Bedrijfskunde,ECON,Arnhem,52.00336,5.92857
M,HAN,HBO-ICT,ICT,Arnhem,52.00336,5.92857
M,HAN,HBO-ICT,ICT,Arnhem,52.00336,5.92857
M,HAN,HBO-ICT,ICT,Arnhem,52.00336,5.92857
M,HAN,Facility Management,ECON,Arnhem,52.00336,5.92857
M,HAN,Ondernemerschap & Retail Management,ECON,Arnhem,52.00336,5.92857
M,HAN,Food & Business,ECON,Arnhem,52.00336,5.92857
M,HAN,Automotive,ENGR,Arnhem,52.00336,5.92857
M,HAN,Finance & Control (Bedrijfseconomie),ECON,Arnhem,52.00336,5.92857
